location,continent,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,male_smokers,female_smokers,cardiovasc_death_rate,hospital_beds_per_thousand,life_expectancy
Morocco,Africa,37344787.0,80.08,29.6,6.769,4.209,7485.013000000001,47.1,0.8,419.14599999999996,1.1,76.68
Mozambique,Africa,32163045.0,37.728,17.7,3.158,1.87,1136.103,29.1,5.1,329.94199999999995,0.7,60.85
Myanmar,Asia,54806014.0,81.721,29.1,5.732,3.12,5591.597,35.2,6.3,202.104,0.9,67.13
Namibia,Africa,2587344.0,3.0780000000000003,22.0,3.552,2.085,9541.808,34.2,9.7,243.81099999999998,,63.71
Nauru,Oceania,10873.0,682.45,,,,12895.635,36.9,43.0,,5.0,59.96
Nepal,Asia,29674920.0,204.43,25.0,5.809,3.2119999999999997,2442.804,37.8,9.5,260.797,0.3,70.78
Netherlands,Europe,17173094.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,27.3,24.4,109.361,3.32,82.28
New Caledonia,Oceania,288217.0,15.342,33.4,9.954,6.489,,,,,,77.55
New Zealand,Oceania,5126300.0,18.206,37.9,15.322000000000001,9.72,36085.843,17.2,14.8,128.797,2.61,82.29
Nicaragua,North America,6702379.0,51.667,27.3,5.445,3.5189999999999997,5321.444,,,137.016,0.9,74.48
Niger,Africa,25130810.0,16.955,15.1,2.553,1.3780000000000001,926.0,15.4,0.1,238.33900000000003,0.3,62.42
Nigeria,Africa,211400704.0,209.588,18.1,2.7510000000000003,1.4469999999999998,5338.454000000001,10.8,0.6,181.013,,54.69
Niue,Oceania,1614.0,,,,,,,,,,73.71
North Macedonia,Europe,2082661.0,82.6,39.1,13.26,8.16,13111.214,,,322.688,4.28,75.8
Northern Cyprus,Asia,,,,,,,,,,,
Northern Mariana Islands,Oceania,57910.0,119.87799999999999,,,,,,,194.99400000000003,,76.74
Norway,Europe,5465629.0,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,20.7,19.6,114.316,3.6,82.4
Oman,Asia,5223376.0,14.98,30.7,2.355,1.53,37960.709,15.6,0.5,266.342,1.6,77.86
Pakistan,Asia,225199929.0,255.57299999999998,23.5,4.495,2.78,5034.708,36.7,2.8,423.031,0.6,67.27
Palau,Oceania,18174.0,47.236999999999995,,,,13240.405,22.7,7.7,,4.8,73.7
Palestine,Asia,5222756.0,778.202,20.4,3.043,1.726,4449.898,,,265.91,,74.05
Panama,North America,4381583.0,55.133,29.7,7.917999999999999,5.03,22267.037,9.9,2.4,128.346,2.3,78.51
Papua New Guinea,Oceania,9119005.0,18.22,22.6,3.8080000000000003,2.142,3823.1940000000004,48.8,23.5,561.494,,64.5
Paraguay,South America,7219641.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,21.6,5.0,199.128,1.3,74.25
Peru,South America,33359415.0,25.129,29.1,7.151,4.455,12236.706,,4.8,85.755,1.6,76.74
Philippines,Asia,111046910.0,351.87300000000005,25.2,4.803,2.661,7599.188,40.8,7.8,370.43699999999995,1.0,71.23
Pitcairn,Oceania,47.0,,,,,,,,,,
Poland,Europe,37797000.0,124.027,41.8,16.762999999999998,10.202,27216.445,33.1,23.3,227.331,6.62,78.73
Portugal,Europe,10167923.0,112.37100000000001,46.2,21.502,14.924000000000001,27936.896,30.0,16.3,127.84200000000001,3.39,82.05
Puerto Rico,North America,2828246.0,376.23199999999997,38.2,15.168,9.829,35044.67,,,108.094,,80.1
Qatar,Asia,2930524.0,227.322,31.9,1.307,0.617,116935.6,26.9,0.8,176.69,1.2,80.23
Romania,Europe,19127772.0,85.12899999999999,43.0,17.85,11.69,23313.199,37.1,22.9,370.94599999999997,6.892,76.05
Russia,Europe,145912022.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,58.3,23.4,431.29699999999997,8.05,72.58
Rwanda,Africa,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,21.0,4.7,191.375,,69.02
Saint Helena,Africa,6095.0,,,,,,,,,,80.56
Saint Kitts and Nevis,North America,53546.0,212.865,,,,24654.385,,,,2.3,76.23
Saint Lucia,North America,184401.0,293.187,34.9,9.721,6.405,12951.839,,,204.62,1.3,76.2
Saint Pierre and Miquelon,North America,5771.0,,,,,,,,,,81.07
Saint Vincent and the Grenadines,North America,111269.0,281.78700000000003,31.8,7.724,4.832,10727.146,,,252.675,2.6,72.53
Samoa,Oceania,200144.0,69.413,22.0,5.606,3.5639999999999996,6021.557,38.1,16.7,348.977,,73.32
San Marino,Europe,34010.0,556.6669999999999,,,,56861.47,,,,3.8,84.97
Sao Tome and Principe,Africa,223364.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,,,270.113,2.9,70.39
Saudi Arabia,Asia,35340680.0,15.322000000000001,31.9,3.295,1.845,49045.41099999999,25.4,1.8,259.538,2.7,75.13
Senegal,Africa,17196308.0,82.32799999999999,18.7,3.008,1.796,2470.58,16.6,0.4,241.21900000000002,,67.94
Serbia,Europe,6871547.0,80.291,41.2,17.366,,14048.881000000001,40.2,37.7,439.415,5.609,76.0
Seychelles,Africa,98910.0,208.354,36.2,8.606,5.586,26382.287,35.7,7.1,242.648,3.6,73.4
Sierra Leone,Africa,8141343.0,104.7,19.1,2.5380000000000003,1.285,1390.3,41.3,8.8,325.721,,54.7
Singapore,Asia,5453600.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,28.3,5.2,92.243,2.4,83.62
Sint Maarten (Dutch part),North America,43421.0,1209.088,,,,36327.232,,,,,78.95
Slovakia,Europe,5449270.0,113.12799999999999,41.2,15.07,9.167,30155.152000000002,37.7,23.1,287.959,5.82,77.54
Slovenia,Europe,2078723.0,102.619,44.5,19.062,12.93,31400.84,25.0,20.1,153.493,4.5,81.32
Solomon Islands,Oceania,703995.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,,,459.78,1.4,73.0
Somalia,Africa,16359500.0,23.5,16.8,2.7310000000000003,1.496,,,,365.769,0.9,57.4
South Africa,Africa,60041996.0,46.754,27.3,5.343999999999999,3.053,12294.876,33.2,8.1,200.38,2.32,64.13
South Korea,Asia,51305184.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,40.9,6.2,85.99799999999999,12.27,83.03
South Sudan,Africa,11381377.0,,19.2,3.4410000000000003,2.032,1569.888,,,280.775,,57.85
Spain,Europe,46745211.0,93.105,45.5,19.436,13.799000000000001,34272.36,31.4,27.4,99.40299999999999,2.97,83.56
Sri Lanka,Asia,21497306.0,341.955,34.1,10.068999999999999,5.331,11669.077,27.0,0.3,197.093,3.6,76.98
Sudan,Africa,44909351.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,,431.38800000000003,0.8,65.31
Suriname,South America,591798.0,3.612,29.6,6.933,4.229,13767.118999999999,42.9,7.4,258.314,3.1,71.68
Sweden,Europe,10160159.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,18.9,18.8,133.982,2.22,82.8
Switzerland,Europe,8715494.0,214.243,43.1,18.436,12.644,57410.166,28.9,22.6,99.73899999999999,4.53,83.78
Syria,Asia,18275704.0,,21.7,,2.577,,,,376.264,1.5,72.7
Taiwan,Asia,23855008.0,,42.2,,8.353,,,,103.95700000000001,,80.46
Tajikistan,Asia,9749625.0,64.281,23.3,3.466,2.155,2896.913,,,427.69800000000004,4.8,71.1
Tanzania,Africa,61498438.0,64.699,17.7,3.108,1.874,2683.304,26.7,3.3,217.28799999999998,0.7,65.46
Thailand,Asia,69950844.0,135.132,40.1,11.373,6.89,16277.671,38.8,1.9,109.861,2.1,77.15
Timor,Asia,1343875.0,87.176,18.0,3.556,1.8969999999999998,6570.102,78.1,6.3,335.346,5.9,69.5
Togo,Africa,8478242.0,143.366,19.4,2.839,1.525,1429.8129999999999,14.2,0.9,280.033,0.7,61.04
Tokelau,Oceania,1368.0,,,,,,,,,,81.86
Tonga,Oceania,106759.0,150.028,22.3,5.82,4.032,5425.621,44.4,11.8,227.49,2.6,70.91
Trinidad and Tobago,North America,1403374.0,266.88599999999997,36.2,10.014,5.819,28763.071,,,228.467,3.0,73.51
Tunisia,Africa,11935764.0,74.22800000000001,32.7,8.001,5.075,10849.296999999999,65.8,1.1,318.991,2.3,76.7
Turkey,Asia,85042736.0,104.914,31.6,8.152999999999999,5.061,25129.341,41.1,14.1,171.285,2.81,77.69
Turkmenistan,Asia,6117933.0,12.253,26.9,4.277,2.541,16389.023,,,536.783,7.4,68.19
Turks and Caicos Islands,North America,39226.0,37.312,,,,,,,,,80.22
Tuvalu,Oceania,11925.0,373.06699999999995,,,,3575.1040000000003,,,,,67.57
Uganda,Africa,47123533.0,213.75900000000001,16.4,2.168,1.308,1697.707,16.7,3.4,213.333,0.5,63.37
Ukraine,Europe,43466822.0,77.39,41.4,16.462,11.133,7894.393,47.4,13.5,539.849,8.8,72.06
United Arab Emirates,Asia,9991083.0,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,37.4,1.2,317.84,1.2,77.97
United Kingdom,Europe,68207114.0,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,24.7,20.0,122.137,2.54,81.32
United States,North America,332915074.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,24.6,19.1,151.089,2.77,78.86
United States Virgin Islands,North America,104218.0,306.48,42.2,18.601,10.799000000000001,,,,273.67,,80.58
Uruguay,South America,3485152.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,19.9,14.0,160.708,2.8,77.91
Uzbekistan,Asia,33935765.0,76.134,28.2,4.468999999999999,2.873,6253.104,24.7,1.3,724.4169999999999,4.0,71.72
Vanuatu,Oceania,314464.0,22.662,23.1,4.394,2.62,2921.909,34.5,2.8,546.3,,70.47
Vatican,Europe,812.0,,,,,,,,,,75.12
Venezuela,South America,28704947.0,36.253,29.0,6.614,3.915,16745.022,,,204.85,0.8,72.06
Vietnam,Asia,98168829.0,308.127,32.6,7.15,4.718,6171.884,45.9,1.0,245.465,2.6,75.4
Wallis and Futuna,Oceania,11094.0,,,,,,,,,,79.94
Yemen,Asia,30490639.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,29.2,7.6,495.00300000000004,0.7,66.12
Zambia,Africa,18920657.0,22.995,17.7,2.48,1.5419999999999998,3689.2509999999997,24.7,3.1,234.49900000000002,2.0,63.89
Zimbabwe,Africa,15092171.0,42.729,19.6,2.822,1.882,1899.775,30.7,1.6,307.846,1.7,61.49
